['2016010100', 'METAR', 'SBGL', '010000Z', '35004KT', '9999', 'VCTS', 'FEW010CB', 'X', 'X', 'X', '31', '22', 'Q1009=']
['2016010101', 'METAR', 'SBGL', '010100Z', '31007KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '30', '23', 'Q1009=']
['2016010102', 'METAR', 'SBGL', '010200Z', '29003KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '30', '23', 'Q1009=']
['2016010103', 'METAR', 'SBGL', '010300Z', '27005KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '29', '22', 'Q1008=']
['2016010104', 'METAR', 'SBGL', '010400Z', '34004KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '28', '22', 'Q1008=']
['2016010105', 'METAR', 'SBGL', '010500Z', '01004KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '27', '22', 'Q1007=']
['2016010106', 'METAR', 'SBGL', '010600Z', '01003KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '27', '23', 'Q1007=']
['2016010107', 'METAR', 'SBGL', '010700Z', '08003KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '26', '22', 'Q1006=']
['2016010108', 'METAR', 'SBGL', '010800Z', '02003KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '26', '23', 'Q1007=']
['2016010109', 'METAR', 'SBGL', '010900Z', '05003KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '28', '23', 'Q1007=']
['2016010110', 'METAR', 'SBGL', '011000Z', '36002KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '29', '22', 'Q1008=']
['2016010111', 'METAR', 'SBGL', '011100Z', '29007KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '33', '21', 'Q1008=']
['2016010112', 'METAR', 'SBGL', '011200Z', '29010KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '35', '20', 'Q1009=']
['2016010113', 'METAR', 'SBGL', '011300Z', '26010KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '36', '19', 'Q1009=']
